nodes,fault_ratio,tps,duration_s,finalize_avg_ms,finalize_p99_ms,notarize_avg_ms,notarize_p99_ms,path_fast_ratio,path_slow_ratio,bls_agg_avg_ms,p2p_vote_bytes_avg,gossip_vote_bytes_avg,p2p_over_gossip_ratio,fast_finality_ok
4.0,0.0,23.205951066686197,21.201458134,45.420446999999996,45.420447,30.420447000000003,30.420446999999996,1.0,0.0,0.4204470000000001,512.0,2048.0,0.25,1.0
4.0,0.1,23.53640516636314,19.501703712,45.420447,45.420447,30.42044700000001,30.420447,1.0,0.0,0.4204470000000002,512.0,2048.0,0.25,1.0
4.0,0.2,24.072709627797614,18.901071256,210.84089399999996,210.840894,180.420447,180.420447,0.0,1.0,0.4204470000000002,512.0,2048.0,0.25,0.0
8.0,0.0,25.652845544669358,19.101194803,45.57558700000001,45.575587,30.575587,30.575587,1.0,0.0,0.5755870000000001,1024.0,8192.0,0.125,1.0
8.0,0.1,23.966692018356603,18.901231745,45.57558700000001,45.575587,30.575587,30.575587,1.0,0.0,0.5755870000000001,1024.0,8192.0,0.125,1.0
8.0,0.2,23.672003025527683,19.601214122000002,211.15117300000014,211.151173,180.575587,180.575587,0.0,1.0,0.575587,1024.0,8192.0,0.125,0.0
16.0,0.0,22.83336084512877,20.10216556,45.74574299999996,45.745743,30.745742999999962,30.745742999999997,1.0,0.0,0.7457429999999997,2048.0,32768.0,0.0625,1.0
16.0,0.1,22.414042030824078,20.701308553,45.74574299999996,45.745743000000004,30.74574299999996,30.745743,1.0,0.0,0.7457429999999992,2048.0,32768.0,0.0625,1.0
16.0,0.2,24.143377462254467,19.301359171,211.49148699999986,211.491487,180.745743,180.745743,0.0,1.0,0.7457429999999997,2048.0,32768.0,0.0625,0.0
32.0,0.0,20.803434160747333,23.60187247,45.92799099999991,45.927991,30.927990999999842,30.927991,1.0,0.0,0.9279909999999986,4096.0,131072.0,0.03125,1.0
32.0,0.1,21.484565179888843,22.201985286,45.92799099999984,45.927991,30.927990999999878,30.927991,1.0,0.0,0.9279909999999995,4096.0,131072.0,0.03125,1.0
32.0,0.2,20.467060897205315,23.501175983,211.85598200000044,211.855982,180.9279909999997,180.927991,0.0,1.0,0.9279909999999986,4096.0,131072.0,0.03125,0.0
